,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,ID,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,1.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,21.0,68701.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,200.25490546116967,0.0,20.0,0.0,59.65,,1
1,8499-BRXTD,1.0,0.0,74.0,0.0,1.0,1.0,0.5,1.0,,,,,,,,,1.0,1.0,1.0,8.0,5.0,0.9999999890906361,48.85,1.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7317525798463612,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,1
2,2041-JIJCI,1.0,1.0,71.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,550.0,93234.66666666667,34.108833000000004,-118.22971499999998,741.8333333333334,4697.833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,5832-EXGTT,1.0,0.0,78.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.33263899999999,100.0,27778.0,1.0,1.0,1.0,25.0,3.0,0.9257572901237612,19.76,0.0,1.0,1.637200361723781,12.0,0.0,1.0,1.0,0.7786090195396611,1.0,1.0,0.34010825554024954,1.0,0.0,1.0,0.0,98.5,2514.5,0.0,0.0,494.00000000000006,2995.07,2.0,2
4,8350-NYMVI,1.0,0.5,80.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1067.0,90602.0,35.093141,-118.02018799999999,114.0,26265.0,1.0,1.0,1.0,37.0,3.0,1.0,6.33,0.41261452508629,1.0,2.0,19.727277062751785,0.0,0.6491046107207931,0.37080410175650425,0.0,0.4091903752680525,0.0,0.0,1.0,0.0,1.0,0.0,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,4
5,7284-BUYEC,1.0,0.0,72.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.5,,,,,,,,,1.0,0.0,0.0,27.0,3.0,1.0,3.33,1.0,1.0,2.0,18.0,0.0,0.0,0.24496393974434982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.05,2135.5,9.68493925715482,10.0,89.91,2235.41,1.0,1
6,3458-IDMFK,1.0,0.0,76.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,548.0,90720.0,35.82104116666667,-118.065591,140.0,21343.0,1.0,1.0,1.0,1.0,5.0,1.0,29.608783659874547,0.05508996614652675,1.0,2.0,30.0,0.07160708550597993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73,2.0,5
7,6648-INWPS,1.0,0.0,78.0,0.0,1.0,0.8333333333333334,1.0,1.0,0.0,0.0,672.0,91605.0,34.207295,-118.40002199999999,239.0,57146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2
8,3196-NVXLZ,1.0,1.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,719.6666666666666,93297.16666666667,34.097345000000004,-117.90673600000001,744.1666666666666,11399.166666666666,1.0,0.0,0.0,5.1466715947093515,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,0.20965495017285873,0.0,0.0,0.0,0.0,1.0000000117357757,0.0,1.0,0.15228447753418636,83.05968312974152,1074.3,0.0,0.0,436.65,1510.9499999999996,1.0,1
9,5939-SXWHM,1.0,1.0,77.0,0.0,1.0,1.0,0.16666666666666666,0.0,,,,,,,,,1.0,1.0,1.0,1.0,5.0,0.25387409401841843,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.2,40.2,0.0,0.0,0.0,40.2,,2
10,3522-CDKHF,1.0,1.0,77.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,1.0,1.0,1.0,24.0,3.0,1.0,16.1,0.0,1.0,1.6959504161060666,12.0,0.0,0.0,1.0,0.0,1.0,0.33689289637401476,1.0,1.0,0.0,1.0,0.0,93.15,2231.05,0.0,0.0,386.4,2617.4500000000007,2.0,1
11,9351-LZYGF,1.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
12,8999-XXGNS,1.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,468.0,92122.0,35.85725,-117.209774,373.0,34902.0,1.0,0.0,0.0,2.0,5.0,1.0,13.17,0.0,1.0,2.0,15.300832118398988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,70.35,139.05,0.0,0.0,26.34,165.39,,5
13,9540-JYROE,1.0,1.0,65.33333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
14,9609-BENEA,1.0,0.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,988.0,92274.0,33.53604,-119.56754966666666,421.0,17018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2
15,1723-HKXJQ,1.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.9999999593944445,1.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3446791921540971,0.0,28.45,131.05,0.0,0.0,0.0,131.05,2.0,2
16,0479-HMSWA,1.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,412.0,92544.0,33.644585,-118.48290266666666,510.0,39264.0,1.0,0.0,0.0,20.0,0.0,1.0,48.73,0.3194107637195265,1.0,1.5971164312668436,12.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6608135908039877,0.533366296244413,0.4704618797537942,0.0,94.1,1782.4,0.0,0.0,974.6,2837.0,1.0,1
17,7750-EYXWZ,1.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,707.1666666666666,92571.0,36.319085333333334,-117.20166599999999,523.0,26357.0,1.0,1.0,2.0,13.649365266582858,1.2555244212716135,1.0,19.035057178825927,0.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.58852270484869,1929.35,0.0,0.0,189.54,2118.89,1.0,3
18,3146-MSEGF,1.0,0.0,68.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,45.81,1.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8573644057425182,0.0,1.0,0.0,85.7,85.7,0.0,0.0,45.81,131.51,,1
19,7929-DMBCV,1.0,1.0,75.0,0.0,0.6666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,961.0,94212.0,34.420998,-119.60136999999999,962.8333333333334,5653.666666666667,1.0,1.0,3.0,49.0,2.0,1.0,26.16321224249456,1.0,1.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,90.05,4547.25,0.0,0.0,1147.5970556260695,4329.820326997828,2.0,1
20,5614-DNZCE,1.0,0.5,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,142.0,93208.0,36.057458000000004,-118.591951,650.0,191.0,1.0,1.0,7.0,20.0,0.0,1.0,26.98659225756022,1.0,1.0,2.0,10.0,0.0,0.0,0.0,0.11502322673383525,1.0,1.0,0.3458363368825063,1.0,0.0,1.0,0.0,94.55,1899.65,0.0,0.0,716.3525141383576,2005.85,1.0,1
21,2550-AEVRU,1.0,1.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,982.0,92592.0,33.507255,-117.029473,532.0,46171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,7207-RMRDB,1.0,1.0,72.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92129.0,33.30951916666667,-117.13491699999999,379.0,47224.0,1.0,1.0,1.0,33.0,0.0,0.999999988054018,27.78,1.0,1.0,2.3463432935002264,8.0,0.0,0.0,0.0,0.0,0.14381862284294103,0.23505194018118522,0.0,1.0,0.0,1.0,0.0,94.5,776.9179268659645,0.0,0.0,448.0137272312137,4022.29,3.0,5
