,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,ID,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,1.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,21.0,68701.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,,0.0,20.0,0.0,59.65,,1.0
1,8499-BRXTD,1.0,0.0,74.0,0.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,8.0,5.0,,48.85,1.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,1.0
2,2041-JIJCI,1.0,1.0,71.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,550.0,,34.108833000000004,-118.22971499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3,5832-EXGTT,1.0,0.0,78.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.33263899999999,100.0,27778.0,1.0,1.0,1.0,25.0,3.0,,19.76,0.0,1.0,,12.0,0.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,98.5,2514.5,,0.0,494.00000000000006,2995.07,2.0,2.0
4,8350-NYMVI,,,80.0,0.0,1.0,,1.0,1.0,0.0,0.0,1067.0,90602.0,,-118.02018799999999,114.0,26265.0,1.0,1.0,1.0,37.0,3.0,1.0,6.33,,1.0,2.0,,0.0,,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,4.0
5,7284-BUYEC,1.0,0.0,72.0,,1.0,,1.0,,,,,,,,,,1.0,0.0,0.0,27.0,3.0,1.0,3.33,1.0,1.0,2.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.05,2135.5,,10.0,89.91,2235.41,1.0,1.0
6,3458-IDMFK,1.0,0.0,76.0,0.0,1.0,1.0,,,0.0,0.0,548.0,90720.0,,-118.065591,140.0,21343.0,1.0,1.0,1.0,1.0,5.0,1.0,,,1.0,2.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73,2.0,5.0
7,3709-OIJEA,,1.0,66.0,0.0,1.0,1.0,,0.0,0.0,0.0,916.0,,34.168686,-118.057505,,,1.0,1.0,6.0,58.0,2.0,0.0,0.0,,1.0,1.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.3,2651.2,40.95,0.0,0.0,2610.25,,
8,6648-INWPS,1.0,0.0,78.0,0.0,1.0,,1.0,1.0,0.0,0.0,672.0,91605.0,34.207295,-118.40002199999999,239.0,57146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
9,3196-NVXLZ,1.0,1.0,65.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,34.097345000000004,-117.90673600000001,,,1.0,0.0,0.0,,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,,1074.3,,0.0,436.65,1510.9499999999996,1.0,1.0
