,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,1.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,68701.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,,0.0,20.0,0.0,59.65,,1
1,5832-EXGTT,1.0,0.0,78.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.33263899999999,27778.0,0.0,1.0,1.0,25.0,3.0,,19.76,0.0,1.0,,12.0,0.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,98.5,2514.5,,0.0,494.00000000000006,2995.07,2.0,2
2,3458-IDMFK,1.0,0.0,76.0,0.0,1.0,1.0,,,0.0,0.0,548.0,90720.0,,-118.065591,21343.0,0.0,1.0,1.0,1.0,5.0,1.0,,,1.0,2.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73,2.0,5
3,3196-NVXLZ,1.0,1.0,65.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,34.097345000000004,-117.90673600000001,,0.0,0.0,0.0,,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,,1074.3,,0.0,436.65,1510.9499999999996,1.0,1
4,3522-CDKHF,1.0,1.0,77.0,0.0,1.0,1.0,0.0,,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,0.0,1.0,1.0,24.0,3.0,1.0,16.1,0.0,1.0,,12.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,93.15,2231.05,0.0,0.0,386.4,2617.4500000000007,2.0,1
5,0479-HMSWA,1.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,412.0,92544.0,33.644585,,39264.0,0.0,0.0,0.0,20.0,0.0,1.0,48.73,,1.0,,12.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,94.1,1782.4,0.0,,974.6,2837.0,1.0,1
6,7750-EYXWZ,1.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,92571.0,,-117.20166599999999,26357.0,0.0,1.0,2.0,,,1.0,,0.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1929.35,0.0,,189.54,2118.89,1.0,3
7,7929-DMBCV,1.0,1.0,75.0,0.0,,,0.0,0.0,0.0,0.0,961.0,,34.420998,-119.60136999999999,,0.0,1.0,3.0,49.0,2.0,1.0,,1.0,1.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,90.05,4547.25,0.0,0.0,,,2.0,1
8,5614-DNZCE,1.0,,75.0,0.0,1.0,1.0,0.0,,0.0,0.0,142.0,93208.0,36.057458000000004,-118.591951,191.0,0.0,1.0,7.0,20.0,0.0,1.0,,1.0,1.0,2.0,10.0,0.0,0.0,0.0,,1.0,1.0,,1.0,0.0,1.0,0.0,94.55,1899.65,0.0,0.0,,2005.85,1.0,1
9,7207-RMRDB,1.0,1.0,72.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92129.0,,-117.13491699999999,47224.0,0.0,1.0,1.0,33.0,0.0,,27.78,1.0,1.0,,8.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,94.5,,0.0,0.0,,4022.29,3.0,5
