Customer ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
1746-TGTWV,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,,0.0,20.0,0.0,59.65
8499-BRXTD,1.0,0.0,1.0,1.0,8.0,5.0,,48.85,1.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,80.65,633.3,0.0,0.0,390.8,1024.1
5832-EXGTT,1.0,0.0,1.0,1.0,25.0,3.0,,19.76,0.0,1.0,,12.0,0.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,98.5,2514.5,,0.0,494.00000000000006,2995.07
8350-NYMVI,1.0,0.0,1.0,1.0,37.0,3.0,1.0,6.33,,1.0,2.0,,0.0,,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,76.5,2868.15,0.0,0.0,234.21,3102.36
7284-BUYEC,1.0,0.0,0.0,0.0,27.0,3.0,1.0,3.33,1.0,1.0,2.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.05,2135.5,,10.0,89.91,2235.41
3458-IDMFK,1.0,0.0,1.0,1.0,1.0,5.0,1.0,,,1.0,2.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73
3709-OIJEA,1.0,0.0,1.0,6.0,58.0,2.0,0.0,0.0,,1.0,1.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.3,2651.2,40.95,0.0,0.0,2610.25
3006-XIMLN,1.0,0.0,0.0,0.0,7.0,5.0,,26.95,0.0,1.0,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,503.6,11.05,,188.65,681.2
3196-NVXLZ,1.0,0.0,0.0,0.0,,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,,1074.3,,0.0,436.65,1510.9499999999996
5939-SXWHM,1.0,0.0,1.0,1.0,1.0,5.0,,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.2,40.2,0.0,0.0,0.0,40.2
4450-MDZFX,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,1.0,,41.15,,0.0,0.0,0.0,132.2
1730-VFMWO,1.0,0.0,0.0,0.0,13.0,4.0,1.0,32.68,1.0,,0.0,11.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1364.3,0.0,10.0,424.84,1799.14
7037-MTYVW,1.0,0.0,0.0,0.0,16.0,,1.0,,0.0,1.0,2.0,9.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,94.45,1511.2,0.0,0.0,150.88,1662.08
6463-HHXJR,1.0,0.0,0.0,0.0,8.0,,1.0,1.78,0.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,74.5,606.55,0.0,0.0,14.24,
