,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,ID,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,1.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,21.0,68701.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,,0.0,20.0,0.0,59.65,,1
1,8499-BRXTD,1.0,0.0,74.0,0.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,8.0,5.0,,48.85,1.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,1
2,2041-JIJCI,1.0,1.0,71.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,550.0,,34.108833000000004,-118.22971499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,5832-EXGTT,1.0,0.0,78.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.33263899999999,100.0,27778.0,1.0,1.0,1.0,25.0,3.0,,19.76,0.0,1.0,,12.0,0.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,98.5,2514.5,,0.0,494.00000000000006,2995.07,2.0,2
4,8350-NYMVI,,,80.0,0.0,1.0,,1.0,1.0,0.0,0.0,1067.0,90602.0,,-118.02018799999999,114.0,26265.0,1.0,1.0,1.0,37.0,3.0,1.0,6.33,,1.0,2.0,,0.0,,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,4
5,7284-BUYEC,1.0,0.0,72.0,,1.0,,1.0,,,,,,,,,,1.0,0.0,0.0,27.0,3.0,1.0,3.33,1.0,1.0,2.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.05,2135.5,,10.0,89.91,2235.41,1.0,1
6,3458-IDMFK,1.0,0.0,76.0,0.0,1.0,1.0,,,0.0,0.0,548.0,90720.0,,-118.065591,140.0,21343.0,1.0,1.0,1.0,1.0,5.0,1.0,,,1.0,2.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73,2.0,5
7,6648-INWPS,1.0,0.0,78.0,0.0,1.0,,1.0,1.0,0.0,0.0,672.0,91605.0,34.207295,-118.40002199999999,239.0,57146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2
8,3196-NVXLZ,1.0,1.0,65.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,34.097345000000004,-117.90673600000001,,,1.0,0.0,0.0,,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,,1074.3,,0.0,436.65,1510.9499999999996,1.0,1
9,5939-SXWHM,1.0,1.0,77.0,0.0,1.0,1.0,,0.0,,,,,,,,,1.0,1.0,1.0,1.0,5.0,,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.2,40.2,0.0,0.0,0.0,40.2,,2
10,3522-CDKHF,1.0,1.0,77.0,0.0,1.0,1.0,0.0,,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,1.0,1.0,1.0,24.0,3.0,1.0,16.1,0.0,1.0,,12.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,93.15,2231.05,0.0,0.0,386.4,2617.4500000000007,2.0,1
11,9351-LZYGF,,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
12,8999-XXGNS,1.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,92122.0,,-117.209774,373.0,34902.0,1.0,0.0,0.0,2.0,5.0,1.0,13.17,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,70.35,139.05,0.0,0.0,26.34,165.39,,5
13,9540-JYROE,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
14,9609-BENEA,1.0,0.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,988.0,92274.0,33.53604,,421.0,17018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2
15,1723-HKXJQ,1.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,1.0,26.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,28.45,131.05,0.0,0.0,0.0,131.05,2.0,2
16,0479-HMSWA,1.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,412.0,92544.0,33.644585,,510.0,39264.0,1.0,0.0,0.0,20.0,0.0,1.0,48.73,,1.0,,12.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,94.1,1782.4,0.0,,974.6,2837.0,1.0,1
