,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,ID,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
0,5066-GFJMM,1.0,,70.0,0.0,,0.0,1.0,2.0,0.0,0.0,730.0,91106.0,,-118.128658,177.0,23742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
1,1730-VFMWO,,1.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,833.0,91748.0,,-117.89736699999999,263.0,46342.0,1.0,,0.0,13.0,4.0,1.0,32.68,1.0,,0.0,11.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1364.3,0.0,10.0,424.84,1799.14,1.0
2,7037-MTYVW,,0.0,68.0,,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,16.0,,1.0,,0.0,1.0,2.0,9.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,94.45,1511.2,0.0,0.0,150.88,1662.08,
3,4981-FLTMF,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,,32.85723,-117.209774,,,1.0,1.0,2.0,32.0,3.0,1.0,47.34,1.0,1.0,2.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.9,2303.35,0.0,0.0,1514.88,3818.23,2.0
4,8443-WVPSS,1.0,0.0,77.0,0.0,,0.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,373.0,34902.0,1.0,0.0,0.0,21.0,0.0,0.0,,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,41.9,,0.0,0.0,0.0,840.1,1.0
5,0027-KWYKW,1.0,0.0,72.0,0.0,1.0,1.0,,0.0,0.0,0.0,,92557.0,33.970661,-117.255039,517.0,46214.0,1.0,1.0,4.0,5.0,,1.0,45.76,1.0,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,74.35,334.8,0.0,,228.8,563.6,1.0
6,3336-JORSO,1.0,1.0,77.0,0.0,,1.0,0.0,0.0,0.0,0.0,879.0,93101.0,34.419203,-119.710008,635.0,31727.0,1.0,1.0,1.0,43.0,2.0,1.0,14.52,1.0,1.0,2.0,,0.0,,1.0,1.0,,1.0,0.0,,0.0,1.0,0.0,110.75,4687.9,0.0,0.0,624.36,5312.259999999998,2.0
7,4334-HOWRP,1.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,318.0,93224.0,35.215731,-119.57013,660.0,626.0,1.0,0.0,0.0,8.0,0.0,1.0,27.95,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.65,,0.0,0.0,,387.9,
8,1591-XWLGB,1.0,0.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,849.0,92129.0,32.961064,,379.0,47224.0,1.0,0.0,0.0,30.0,,1.0,45.88,1.0,,2.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,91.7,2758.15,,0.0,1376.4,4134.55,1.0
9,8207-VVMYB,,0.0,66.0,0.0,,0.0,0.0,0.0,0.0,0.0,349.0,93706.0,36.654614,-119.903674,849.0,35790.0,1.0,0.0,,55.0,,1.0,37.38,1.0,1.0,,7.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,5509.3,0.0,100.0,,7665.200000000002,3.0
10,7469-LKBCI,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,458.0,93928.0,35.930782,-121.189757,871.0,254.0,1.0,1.0,1.0,20.0,0.0,1.0,5.37,0.0,1.0,2.0,24.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,73.65,1463.5,0.0,0.0,107.4,1570.9,1.0
11,3722-WPXTK,1.0,1.0,,0.0,,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,8.0,0.0,,,0.0,1.0,2.0,,1.0,,0.0,1.0,1.0,,1.0,1.0,,0.0,1.0,100.3,832.35,0.0,0.0,92.56,924.91,
12,3115-CZMZD,1.0,1.0,77.0,0.0,1.0,,,,0.0,0.0,649.0,94558.0,38.489789,,987.0,63947.0,1.0,1.0,,62.0,0.0,1.0,7.11,1.0,1.0,2.0,16.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,103.75,6383.35,0.0,0.0,440.82,6824.17,
13,0475-RIJEP,1.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,94704.0,,,1035.0,21205.0,1.0,0.0,0.0,8.0,5.0,1.0,40.45,1.0,1.0,2.0,29.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,100.6,819.4,0.0,,,1143.0,1.0
14,0848-ZGQIJ,1.0,1.0,65.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,858.0,95128.0,37.316146,-121.93628500000001,1134.0,32804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
15,2212-LYASK,1.0,0.0,70.0,0.0,,1.0,0.0,0.0,0.0,0.0,,95439.0,38.493888,-122.77714099999999,1275.0,476.0,1.0,1.0,1.0,,1.0,1.0,24.13,1.0,1.0,2.0,24.0,0.0,1.0,,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,89.6,6127.6,0.0,,1640.84,7768.44,1.0
16,9823-EALYC,1.0,1.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,663.0,95464.0,39.12334,-122.83819799999999,1297.0,2223.0,1.0,1.0,1.0,7.0,5.0,1.0,13.63,0.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,89.5,676.7,0.0,,95.41,772.11,
17,9227-YBAXE,1.0,0.0,74.0,0.0,1.0,0.0,0.0,,0.0,0.0,815.0,95562.0,,-124.163234,1349.0,3284.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,25.2,25.2,0.0,0.0,,25.2,1.0
