,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,Male,78.0,No,Yes,No,No,0.0,United States,California,Los Angeles,90022.0,34.02381,-118.156582,68701.0,Q3,No,0.0,1.0,None,No,0.0,No,Yes,DSL,8.0,No,No,,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,,0.0,20.0,0.0,59.65,,Competitor
1,8499-BRXTD,1.0,Female,74.0,No,Yes,Yes,,1.0,,,,,,,,Q3,Yes,1.0,8.0,Offer E,,48.85,Yes,Yes,Fiber Optic,17.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,Competitor
2,2041-JIJCI,1.0,Male,71.0,No,Yes,No,Yes,3.0,United States,California,Los Angeles,,34.108833000000004,-118.22971499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
3,2041-JIJCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
4,5832-EXGTT,1.0,Female,78.0,No,Yes,Yes,Yes,1.0,United States,California,Inglewood,90303.0,33.936291,-118.33263899999999,27778.0,Q3,Yes,1.0,25.0,Offer C,,19.76,No,Yes,,12.0,No,Yes,Yes,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,,0.0,494.00000000000006,2995.07,2.0,Dissatisfaction
5,8350-NYMVI,,,80.0,No,Yes,,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price
6,8350-NYMVI,1.0,,,,,,,,United States,California,Whittier,90602.0,,-118.02018799999999,26265.0,Q3,Yes,1.0,37.0,Offer C,Yes,6.33,,Yes,Fiber Optic,,No,,,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,Price
7,7284-BUYEC,1.0,Female,72.0,,Yes,,Yes,,,,,,,,,Q3,No,0.0,27.0,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18.0,No,No,,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,,10.0,89.91,2235.41,1.0,Competitor
8,3458-IDMFK,1.0,Female,76.0,No,Yes,Yes,,,United States,California,Los Alamitos,90720.0,,-118.065591,21343.0,Q3,Yes,1.0,1.0,Offer E,Yes,,,Yes,Fiber Optic,30.0,,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0.0,15.28,85.73,2.0,Other
9,3709-OIJEA,,Male,66.0,No,Yes,Yes,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3709-OIJEA,1.0,,,,,,,,United States,California,Sierra Madre,,34.168686,-118.057505,,Q3,Yes,6.0,58.0,Offer B,No,0.0,,Yes,DSL,24.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0.0,0.0,2610.25,,
11,5066-GFJMM,1.0,,70.0,No,,No,Yes,2.0,United States,California,Pasadena,91106.0,,-118.128658,23742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5066-GFJMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
13,6648-INWPS,1.0,Female,78.0,No,Yes,,Yes,1.0,United States,California,North Hollywood,91605.0,34.207295,-118.40002199999999,57146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfaction
14,6648-INWPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Dissatisfaction
15,3196-NVXLZ,1.0,Male,65.0,,Yes,No,No,0.0,United States,California,,,34.097345000000004,-117.90673600000001,,Q3,No,0.0,,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,,No,No,No,No,,Month-to-Month,Yes,,,1074.3,,0.0,436.65,1510.9499999999996,1.0,Competitor
16,5939-SXWHM,1.0,Male,77.0,No,Yes,Yes,,0.0,,,,,,,,Q3,Yes,1.0,1.0,Offer E,,0.0,No,Yes,DSL,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0.0,0.0,40.2,,Dissatisfaction
17,1730-VFMWO,,Male,68.0,No,Yes,No,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1730-VFMWO,1.0,,,,,,,,United States,California,Rowland Heights,91748.0,,-117.89736699999999,46342.0,Q3,,0.0,13.0,Offer D,Yes,32.68,Yes,,Cable,11.0,No,Yes,Yes,,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,,1364.3,0.0,10.0,424.84,1799.14,1.0,
19,7037-MTYVW,,Female,68.0,,Yes,No,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7037-MTYVW,1.0,,,,,,,,,,,,,,,Q3,No,0.0,16.0,,Yes,,No,Yes,Fiber Optic,9.0,No,No,,Yes,Yes,Yes,Yes,Yes,Month-to-Month,,Bank Withdrawal,94.45,1511.2,0.0,0.0,150.88,1662.08,,
21,6463-HHXJR,1.0,Male,66.0,No,Yes,,No,0.0,United States,California,Alpine,91901.0,32.827184,-116.70372900000001,16486.0,Q3,No,0.0,8.0,,Yes,1.78,No,Yes,Fiber Optic,7.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,74.5,606.55,0.0,0.0,14.24,,2.0,
22,4981-FLTMF,1.0,Male,,No,Yes,Yes,No,0.0,United States,California,San Diego,,32.85723,-117.209774,,Q3,Yes,2.0,32.0,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10.0,No,,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0.0,1514.88,3818.23,2.0,
23,3522-CDKHF,1.0,Male,77.0,No,Yes,Yes,No,,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,Yes,1.0,24.0,Offer C,Yes,16.1,No,Yes,,12.0,No,No,Yes,No,Yes,,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0.0,386.4,2617.4500000000007,2.0,Competitor
24,9351-LZYGF,,Female,70.0,No,Yes,No,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Competitor
25,9351-LZYGF,1.0,,,,,,,,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
26,8999-XXGNS,1.0,Female,74.0,No,Yes,No,No,0.0,United States,California,,92122.0,,-117.209774,34902.0,Q3,No,0.0,2.0,Offer E,Yes,13.17,No,Yes,Fiber Optic,,No,No,No,No,No,No,No,,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0.0,26.34,165.39,,Other
27,8443-WVPSS,1.0,Female,77.0,No,,No,No,0.0,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,No,0.0,21.0,None,No,,No,Yes,Cable,8.0,Yes,No,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,,0.0,0.0,0.0,840.1,1.0,
28,9540-JYROE,1.0,Male,,No,Yes,Yes,No,0.0,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
29,9540-JYROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Competitor
30,4615-PIVVU,1.0,,79.0,No,Yes,Yes,No,0.0,,,,,,,,Q3,,1.0,11.0,None,Yes,29.54,No,No,None,0.0,No,,No,,No,No,No,,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,539.69,1.0,
31,7401-RUBNK,1.0,Female,66.0,No,Yes,Yes,,0.0,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,Yes,2.0,55.0,Offer B,,42.82,Yes,Yes,Fiber Optic,27.0,No,,Yes,No,No,No,No,No,Month-to-Month,Yes,,85.45,4874.7,0.0,90.0,2355.1,7319.799999999998,1.0,
32,5701-GUXDC,1.0,Male,77.0,No,Yes,No,No,,,,,,,,,Q3,No,0.0,3.0,Offer E,,9.22,Yes,Yes,Fiber Optic,14.0,,Yes,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0.0,27.660000000000004,261.36,1.0,
33,9609-BENEA,1.0,Female,80.0,No,Yes,No,No,0.0,United States,California,Thermal,92274.0,33.53604,,17018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfaction
34,9609-BENEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Dissatisfaction
35,1723-HKXJQ,1.0,Female,77.0,No,Yes,No,No,0.0,,,,,,,,Q3,No,0.0,5.0,Offer E,No,0.0,No,,DSL,26.0,No,Yes,No,No,,No,No,Yes,Month-to-Month,,Bank Withdrawal,28.45,131.05,0.0,0.0,0.0,131.05,2.0,Dissatisfaction
36,0479-HMSWA,1.0,Female,77.0,No,Yes,No,No,0.0,United States,California,Hemet,92544.0,33.644585,,39264.0,Q3,No,0.0,20.0,None,Yes,48.73,,Yes,,12.0,No,Yes,Yes,No,No,Yes,No,,,,Bank Withdrawal,94.1,1782.4,0.0,,974.6,2837.0,1.0,Competitor
37,0027-KWYKW,1.0,Female,72.0,No,Yes,Yes,,0.0,United States,California,,92557.0,33.970661,-117.255039,46214.0,Q3,Yes,4.0,5.0,,Yes,45.76,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,,228.8,563.6,1.0,
38,7750-EYXWZ,1.0,Female,80.0,No,Yes,Yes,No,0.0,United States,California,,92571.0,,-117.20166599999999,26357.0,Q3,Yes,2.0,,,Yes,,No,Yes,Cable,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,1929.35,0.0,,189.54,2118.89,1.0,Attitude
39,3146-MSEGF,1.0,Female,68.0,No,,No,No,,,,,,,,,Q3,No,0.0,1.0,None,Yes,45.81,Yes,Yes,Fiber Optic,21.0,,,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0.0,45.81,131.51,,Competitor
40,7929-DMBCV,1.0,Male,75.0,No,,,No,0.0,United States,California,Summerland,,34.420998,-119.60136999999999,,Q3,Yes,3.0,49.0,Offer B,Yes,,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0.0,,,2.0,Competitor
41,3336-JORSO,1.0,Male,77.0,No,,Yes,No,0.0,United States,California,Santa Barbara,93101.0,34.419203,-119.710008,31727.0,Q3,Yes,1.0,43.0,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,,No,,Yes,Yes,,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.259999999998,2.0,
42,3580-REOAC,1.0,Male,80.0,No,Yes,Yes,No,0.0,United States,California,Alpaugh,93201.0,35.869626000000004,-119.49877099999999,1054.0,Q3,No,0.0,56.0,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12.0,Yes,No,Yes,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,,0.0,,8527.449999999999,1.0,
43,5614-DNZCE,1.0,,75.0,No,Yes,Yes,No,,United States,California,Camp Nelson,93208.0,36.057458000000004,-118.591951,191.0,Q3,Yes,7.0,20.0,None,Yes,,Yes,Yes,Fiber Optic,10.0,No,No,No,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0.0,,2005.85,1.0,Competitor
44,4334-HOWRP,1.0,Female,74.0,No,Yes,No,No,0.0,United States,California,Fellows,93224.0,35.215731,-119.57013,626.0,Q3,No,0.0,8.0,None,Yes,27.95,No,No,None,0.0,No,No,,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,,0.0,0.0,,387.9,,
45,2550-AEVRU,1.0,Male,76.0,No,Yes,No,No,0.0,United States,California,Temecula,92592.0,33.507255,-117.029473,46171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
46,2550-AEVRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
47,4906-ZHGPK,1.0,Male,69.0,No,Yes,,No,0.0,United States,California,,92129.0,32.961064,-117.13491699999999,47224.0,Q3,No,0.0,,None,,43.99,No,Yes,DSL,27.0,Yes,No,,No,,No,No,Yes,,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.07999999999996,2.0,
48,7207-RMRDB,1.0,Male,72.0,No,Yes,Yes,No,0.0,United States,California,San Diego,92129.0,,-117.13491699999999,47224.0,Q3,Yes,1.0,33.0,None,,27.78,Yes,Yes,,8.0,No,No,No,No,,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,,0.0,0.0,,4022.29,3.0,Other
49,1591-XWLGB,1.0,Female,69.0,No,Yes,No,No,0.0,United States,California,San Diego,92129.0,32.961064,,47224.0,Q3,No,0.0,30.0,,Yes,45.88,Yes,,Fiber Optic,19.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,,0.0,1376.4,4134.55,1.0,
50,2424-WVHPL,1.0,Male,,No,,No,,,United States,California,,92129.0,32.961064,,47224.0,Q3,No,0.0,20.0,None,Yes,44.44,Yes,,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120.0,,2851.6,3.0,Competitor
51,4342-HFXWS,1.0,Female,65.0,,Yes,No,No,0.0,United States,California,Biola,93606.0,36.798882,-120.01951100000001,807.0,Q3,No,,,None,Yes,2.37,Yes,Yes,,20.0,Yes,Yes,,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0.0,109.02,4983.8200000000015,1.0,Competitor
52,1866-NXPSP,1.0,Male,74.0,No,Yes,Yes,No,0.0,United States,California,Selma,93662.0,36.545322,-119.64228100000001,26213.0,Q3,,1.0,7.0,None,Yes,21.91,Yes,Yes,Cable,11.0,No,,No,,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,,,153.37,797.72,,Competitor
