,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,1.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,68701.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,,0.0,20.0,0.0,59.65,,1.0
1,8499-BRXTD,1.0,0.0,74.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,1.0,1.0,8.0,5.0,,48.85,1.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,1.0
2,2041-JIJCI,1.0,1.0,71.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,550.0,,34.108833000000004,-118.22971499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3,2041-JIJCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4,5832-EXGTT,1.0,0.0,78.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.332639,27778.0,0.0,1.0,1.0,25.0,3.0,,19.76,0.0,1.0,,12.0,0.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,98.5,2514.5,,0.0,494.00000000000006,2995.07,2.0,2.0
5,8350-NYMVI,,,80.0,0.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
6,8350-NYMVI,1.0,,,,,,,,0.0,0.0,1067.0,90602.0,33.972119,-118.020188,26265.0,0.0,1.0,1.0,37.0,3.0,1.0,6.33,,1.0,2.0,,0.0,,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,4.0
7,7284-BUYEC,1.0,0.0,72.0,0.0,1.0,,1.0,2.0,,,,,,,,0.0,0.0,0.0,27.0,3.0,1.0,3.33,1.0,1.0,2.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.05,2135.5,,10.0,89.91,2235.41,1.0,1.0
8,3458-IDMFK,1.0,0.0,76.0,0.0,1.0,1.0,,,0.0,0.0,548.0,90720.0,33.79499000000001,-118.065591,21343.0,0.0,1.0,1.0,1.0,5.0,1.0,,,1.0,2.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73,2.0,5.0
9,3709-OIJEA,,1.0,66.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3709-OIJEA,1.0,,,,,,,,0.0,0.0,916.0,,34.168686,-118.057505,,0.0,1.0,6.0,58.0,2.0,0.0,0.0,,1.0,1.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.3,2651.2,40.95,0.0,0.0,2610.25,,
11,5066-GFJMM,1.0,,70.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,730.0,91106.0,34.139402000000004,-118.128658,23742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5066-GFJMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
13,6648-INWPS,1.0,0.0,78.0,0.0,1.0,,1.0,1.0,0.0,0.0,672.0,91605.0,34.207295,-118.400022,57146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
14,6648-INWPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
15,3196-NVXLZ,1.0,1.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,34.097345000000004,-117.906736,,0.0,0.0,0.0,,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,,1074.3,,0.0,436.65,1510.9499999999994,1.0,1.0
16,5939-SXWHM,1.0,1.0,77.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,1.0,1.0,1.0,5.0,,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.2,40.2,0.0,0.0,0.0,40.2,,2.0
17,1730-VFMWO,,1.0,68.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1730-VFMWO,1.0,,,,,,,,0.0,0.0,833.0,91748.0,33.976753,-117.897367,46342.0,0.0,0.0,0.0,13.0,4.0,1.0,32.68,1.0,,0.0,11.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1364.3,0.0,10.0,424.84,1799.14,1.0,
19,7037-MTYVW,,0.0,68.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7037-MTYVW,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,16.0,,1.0,,0.0,1.0,2.0,9.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,94.45,1511.2,0.0,0.0,150.88,1662.08,,
21,6463-HHXJR,1.0,1.0,66.0,0.0,1.0,,0.0,0.0,0.0,0.0,16.0,91901.0,32.827184,-116.703729,16486.0,0.0,0.0,0.0,8.0,,1.0,1.78,0.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,74.5,606.55,0.0,0.0,14.24,,2.0,
22,4981-FLTMF,1.0,1.0,73.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,,32.85723,-117.209774,,0.0,1.0,2.0,32.0,3.0,1.0,47.34,1.0,1.0,2.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.9,2303.35,0.0,0.0,1514.88,3818.23,2.0,
23,3522-CDKHF,1.0,1.0,77.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,0.0,1.0,1.0,24.0,3.0,1.0,16.1,0.0,1.0,,12.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,93.15,2231.05,0.0,0.0,386.4,2617.4500000000007,2.0,1.0
24,9351-LZYGF,,0.0,70.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
25,9351-LZYGF,1.0,,,,,,,,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
26,8999-XXGNS,1.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,0.0,0.0,0.0,2.0,5.0,1.0,13.17,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,70.35,139.05,0.0,0.0,26.34,165.39,,5.0
27,8443-WVPSS,1.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,0.0,0.0,0.0,21.0,0.0,0.0,,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,41.9,,0.0,0.0,0.0,840.1,1.0,
28,9540-JYROE,1.0,1.0,73.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
29,9540-JYROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
30,4615-PIVVU,1.0,,79.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,1.0,1.0,11.0,0.0,1.0,29.54,0.0,0.0,3.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,19.95,214.75,0.0,0.0,324.94,539.69,1.0,
31,7401-RUBNK,1.0,0.0,66.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0,0.0,1.0,2.0,55.0,2.0,,42.82,1.0,1.0,2.0,27.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,85.45,4874.7,0.0,90.0,2355.1,7319.799999999997,1.0,
32,5701-GUXDC,1.0,1.0,77.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,3.0,5.0,,9.22,1.0,1.0,2.0,14.0,,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,81.35,233.7,0.0,0.0,27.660000000000004,261.36,1.0,
33,9609-BENEA,1.0,0.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,988.0,92274.0,33.53604,-116.119222,17018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
34,9609-BENEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
