,Internet Type,Streaming TV,Total Revenue,Device Protection Plan,Unlimited Data,Payment Method,Online Backup,Contract,Internet Service,Offer,Paperless Billing,Quarter,Avg Monthly GB Download,Total Refunds,Streaming Music,Online Security,Number of Referrals,Premium Tech Support,Total Extra Data Charges,Total Long Distance Charges,Streaming Movies,Referred a Friend,Monthly Charge,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Total Charges,Customer ID,Satisfaction Score,Churn Category
0,1.0,0.0,59.65,0.007881239947279203,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,39.65,1.0,0.0,0.0,0.0,54.44293846738845,1746-TGTWV,,1
1,2.0,0.0,1024.1,0.0,1.0,0.09283440946343666,1.0,0.0,1.0,5.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,390.8,0.0,1.0,80.65,8.0,0.19588234976146957,48.85,1.0,633.3,8499-BRXTD,3.0,1
2,0.7545772962086048,1.0,2995.07,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,12.0,1.0530304032802018,0.3137286767612131,0.0,1.0,0.2687185833436318,0.0,494.00000000000006,1.0,1.0,98.5,25.0,0.451410264609965,19.76,0.0,2514.5,5832-EXGTT,2.0,2
3,2.0,0.42068769404162326,3102.36,0.3926305481434996,1.0,0.0,0.37627141564687316,0.0,1.0,3.0,1.0,1.0,15.42299674816257,0.0,0.0,0.0,1.0,0.0,0.0,234.21,0.0,1.0,76.5,37.0,1.0,6.33,0.36289099421505266,2868.15,8350-NYMVI,2.0,4
4,2.0,0.0,2235.41,0.29630487216159224,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,18.0,0.7434228247011123,0.0,0.0,0.0,0.0,10.0,89.91,0.0,0.0,78.05,27.0,1.0,3.33,1.0,2135.5,7284-BUYEC,1.0,1
5,2.0,0.0,85.73,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,30.0,0.0,0.0,0.007161655853134542,1.0,0.0,0.0,15.28,0.0,1.0,70.45,1.0,1.0,0.2879990814031163,0.009782153761506169,70.45,3458-IDMFK,2.0,5
6,2.0,0.0,1510.9499999999996,0.13215285096662427,0.18637184176631263,0.12157344084641908,1.0,0.0,1.0,4.0,1.0,1.0,29.0,0.5586344266182186,0.0,0.0,0.0,0.0,0.0,436.65,0.0,0.0,20.38957927121124,13.702554258377809,1.0,29.11,0.0,1074.3,3196-NVXLZ,1.0,1
7,1.0,1.0,40.2,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,40.2,1.0,0.00484070489821709,0.0,0.0,40.2,5939-SXWHM,,2
8,0.6379264538799988,1.0,2617.4500000000007,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,386.4,0.3200022288018464,1.0,93.15,24.0,1.0,16.1,0.0,2231.05,3522-CDKHF,2.0,1
9,2.0,0.0,165.39,0.0,0.02417979862629232,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.7557700645519574,0.0,0.0,0.0,0.0,0.0,0.0,26.34,0.0,0.0,70.35,2.0,1.0,13.17,0.0,139.05,8999-XXGNS,,5
