,Under 30,Gender,Senior Citizen,Dependents,Number of Dependents,Married,Count,Customer ID,Age,Satisfaction Score,Churn Category
0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1746-TGTWV,78.0,,1
1,0.0,0.0,1.0,0.3025657380943358,1.0,1.0,1.0,8499-BRXTD,74.0,3.0,1
2,0.0,1.0,1.0,1.0,3.0,0.0,1.0,2041-JIJCI,71.0,,1
3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5832-EXGTT,78.0,2.0,2
4,0.0,0.7631068501910697,1.0,1.0,1.0,0.7299986934721118,1.4939897339575423,8350-NYMVI,80.0,2.0,4
5,0.13535405658060493,0.0,1.0,1.0,0.5906293009561571,0.6463800395124105,1.0,7284-BUYEC,72.0,1.0,1
6,0.0,0.0,1.0,0.29538511260932515,0.6010254000651198,1.0,1.0,3458-IDMFK,76.0,2.0,5
7,0.0,0.0,1.0,1.0,1.0,0.7079104623208115,1.0,6648-INWPS,78.0,1.0,2
8,0.1127363025380424,1.0,1.0,0.0,0.0,0.0,1.0,3196-NVXLZ,65.0,1.0,1
9,0.0,1.0,1.0,0.28196915665613637,0.0,1.0,1.0,5939-SXWHM,77.0,,2
10,0.0,1.0,1.0,0.0,0.6090447960198948,1.0,1.0,3522-CDKHF,77.0,2.0,1
11,0.0,0.0,1.0,0.0,0.0,0.0,1.2809983945025536,9351-LZYGF,70.0,1.0,1
12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8999-XXGNS,74.0,,5
13,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9540-JYROE,1.7368195856323208,1.0,1
14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9609-BENEA,80.0,2.0,2
15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1723-HKXJQ,77.0,2.0,2
16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0479-HMSWA,77.0,1.0,1
17,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7750-EYXWZ,80.0,1.0,3
18,0.0,0.0,0.32849847861282366,0.0,0.5090331718152354,0.0,1.0,3146-MSEGF,68.0,,1
19,0.0,1.0,0.3642465307032736,0.0,0.0,0.6511874562633273,1.0,7929-DMBCV,75.0,2.0,1
20,0.0,0.707667945709529,1.0,0.0,0.5910481354727378,1.0,1.0,5614-DNZCE,75.0,1.0,1
21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2550-AEVRU,76.0,,1
22,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7207-RMRDB,72.0,3.0,5
23,0.0,1.0,0.003450116521253804,0.016591294367395867,0.040411032795696314,0.0,1.0,2424-WVHPL,1.181190496755601,3.0,1
24,0.1114643871216595,0.0,1.0,0.0,0.0,0.0,1.0,4342-HFXWS,65.0,1.0,1
25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1866-NXPSP,74.0,,1
26,0.0,0.0,1.0,0.0,0.48232418200646565,0.0,1.0,2135-DQWAQ,65.0,3.0,5
27,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9115-YQHGA,69.0,,1
28,0.0,1.0,1.0,0.27512348923649127,0.0,1.0,1.0,5792-JALQC,75.0,2.0,4
29,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8883-ANODQ,71.0,,5
30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1023-BQXZE,80.0,2.0,5
31,0.0,1.0,1.0,0.0,0.0,1.0,1.3433038168049742,7596-IIWYC,73.0,1.0,1
32,0.0,0.6069376932443049,1.0,0.0,0.0,0.5629306446848361,1.0,4078-SAYYN,65.0,2.0,1
33,0.0,1.0,1.0,0.0,0.5927855768043669,0.6670814427448073,1.3886732000222657,2884-GBPFB,75.0,1.0,1
34,0.0,0.0,1.0,0.24687409197070356,0.0,1.0,1.0,4355-CVPVS,68.0,1.0,3
35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8883-GRDWQ,71.0,1.0,1
36,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1657-DYMBM,77.0,1.0,1
37,0.0,0.6330281339155891,1.0,0.0,0.0,0.0,1.0,1618-CFHME,68.0,,3
38,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5130-IEKQT,74.0,3.0,1
39,0.0,0.0,1.0,0.2639882605198162,0.0,1.0,1.0,6674-KVJHG,73.0,,1
40,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1090-ESELR,74.0,2.0,3
41,0.0,1.0,1.0,0.0,0.0,0.0,0.012179178224733127,5286-YHCVC,0.6089204388484634,1.0,1
42,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4163-KIUHY,73.0,2.0,1
43,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5889-JTMUL,74.0,1.0,1
44,0.0,1.0,0.37036313779123897,0.0,0.0,0.0,1.0,2165-VOEGB,76.0,3.0,2
45,0.0,0.0,1.0,0.0,0.5731107727943217,0.661440461043824,1.0,2612-PHGOX,75.0,2.0,3
46,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7134-MJPDY,73.0,1.0,1
47,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1282-IHQAC,77.0,,5
48,0.11733538789212725,0.610702762343732,1.0,0.0,0.49101192834750584,0.0,1.0,5244-IRFIH,65.0,,1
49,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2868-SNELZ,70.0,3.0,3
50,0.0,0.0,1.0,0.0,0.5619497557439505,0.0,1.0,7801-KICAO,76.0,3.0,1
51,0.0,1.0,1.0,0.0,0.0,1.0,1.4165739413047789,0196-JTUQI,77.0,2.0,1
52,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0014-BMAQU,76.0,,1
53,0.0,0.0,1.0,0.2677783602499352,0.0,0.0,1.0,7248-VZQLC,77.0,2.0,1
54,0.0,0.0,1.0,0.0,0.0,0.6897355894462446,1.0,4316-XCSLJ,80.0,1.0,1
55,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4781-ZXYGU,65.0,3.0,1
56,0.0,1.0,0.3311667124557979,0.0,0.0,0.0,1.0,7572-KPVKK,68.0,2.0,1
57,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7398-LXGYX,72.0,1.0,1
58,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7594-LZNWR,76.0,,1
59,0.0,0.6558354352537149,1.0,0.25653296716473445,0.0,1.0,1.0,9122-UMROB,70.0,2.0,3
60,0.0,1.0,1.0,0.0,0.0,0.6156645237057262,1.0,6557-BZXLQ,71.0,2.0,3
61,0.0,1.0,0.36107155545478525,0.0,0.5789250553618137,0.0,1.3858364875190317,4727-MCYZG,75.0,3.0,5
62,0.0,0.0,1.0,0.23355002315170972,0.0,0.0,1.0,0661-KBKPA,67.0,1.0,3
63,0.0,0.0,1.0,0.0,0.0,0.5610102299311277,1.0,1544-JJMYL,65.0,1.0,3
64,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6178-KFNHS,80.0,1.0,1
65,0.0,1.0,0.343619761486213,0.0,0.0,1.0,1.3074753071498857,0480-BIXDE,71.0,3.0,3
