,Number of Dependents,Under 30,Gender,Age,Married,Senior Citizen,Dependents,Satisfaction Score,Churn Category
0,0.0,0.0,1.0,78.0,0.0,1.0,0.0,,1
1,1.0,0.0,0.0,74.0,1.0,1.0,0.5,3.0,1
2,3.0,0.0,1.0,71.0,0.0,1.0,1.0,,1
3,1.0,0.0,0.0,78.0,1.0,1.0,1.0,2.0,2
4,1.0,0.0,0.5,80.0,0.6666666666666666,1.0,1.0,2.0,4
5,0.5,0.16666666666666666,0.0,72.0,0.3333333333333333,1.0,1.0,1.0,1
6,0.0,0.0,0.0,76.0,1.0,1.0,0.0,2.0,5
7,1.0,0.0,0.0,78.0,0.8333333333333334,1.0,1.0,1.0,2
8,0.0,0.0,1.0,65.0,0.0,1.0,0.0,1.0,1
9,0.0,0.0,1.0,77.0,1.0,1.0,0.16666666666666666,,2
10,0.0,0.0,1.0,77.0,1.0,1.0,0.0,2.0,1
11,0.0,0.0,0.0,70.0,0.0,1.0,0.0,1.0,1
12,0.0,0.0,0.0,74.0,0.0,1.0,0.0,,5
13,0.0,0.0,1.0,65.33333333333333,1.0,1.0,0.0,1.0,1
14,0.0,0.0,0.0,80.0,0.0,1.0,0.0,2.0,2
15,0.0,0.0,0.0,77.0,0.0,1.0,0.0,2.0,2
16,0.0,0.0,0.0,77.0,0.0,1.0,0.0,1.0,1
17,0.0,0.0,0.0,80.0,1.0,1.0,0.0,1.0,3
18,0.0,0.0,0.0,68.0,0.0,0.5,0.0,,1
19,0.0,0.0,1.0,75.0,0.8333333333333334,0.6666666666666666,0.0,2.0,1
20,0.0,0.0,0.5,75.0,1.0,1.0,0.0,1.0,1
21,0.0,0.0,1.0,76.0,0.0,1.0,0.0,,1
22,0.0,0.0,1.0,72.0,1.0,1.0,0.0,3.0,5
23,0.0,0.0,1.0,54.0,0.0,0.16666666666666666,0.0,3.0,1
24,0.0,0.16666666666666666,0.0,65.0,0.0,1.0,0.0,1.0,1
25,0.0,0.0,1.0,74.0,1.0,1.0,0.0,,1
26,0.0,0.0,0.0,65.0,0.0,1.0,0.0,3.0,5
27,0.0,0.0,1.0,69.0,0.0,1.0,0.0,,1
28,0.0,0.0,1.0,75.0,1.0,1.0,0.0,2.0,4
29,0.0,0.0,1.0,71.0,0.0,1.0,0.0,,5
30,0.0,0.0,1.0,80.0,0.0,1.0,0.0,2.0,5
31,0.0,0.0,1.0,73.0,1.0,1.0,0.0,1.0,1
32,0.0,0.0,0.5,65.0,0.3333333333333333,1.0,0.0,2.0,1
33,0.0,0.0,1.0,75.0,0.5,1.0,0.0,1.0,1
34,0.0,0.0,0.0,68.0,1.0,1.0,0.0,1.0,3
35,0.0,0.0,0.0,71.0,0.0,1.0,0.0,1.0,1
36,0.0,0.0,1.0,77.0,0.0,1.0,0.0,1.0,1
37,0.0,0.0,0.6666666666666666,68.0,0.0,1.0,0.0,,3
38,0.0,0.0,1.0,74.0,1.0,1.0,0.0,3.0,1
39,0.0,0.0,0.0,73.0,1.0,1.0,0.0,,1
40,0.0,0.0,0.0,74.0,1.0,1.0,0.0,2.0,3
41,0.0,0.0,1.0,61.5,0.0,1.0,0.0,1.0,1
42,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,1
43,0.0,0.0,1.0,74.0,1.0,1.0,0.0,1.0,1
44,0.0,0.0,1.0,76.0,0.0,0.5,0.0,3.0,2
45,0.0,0.0,0.0,75.0,0.6666666666666666,1.0,0.0,2.0,3
46,0.0,0.0,0.0,73.0,0.0,1.0,0.0,1.0,1
47,0.0,0.0,0.0,77.0,0.0,1.0,0.0,,5
48,0.0,0.16666666666666666,0.6666666666666666,65.0,0.0,1.0,0.0,,1
49,0.0,0.0,1.0,70.0,0.0,1.0,0.0,3.0,3
50,0.0,0.0,0.0,76.0,0.0,1.0,0.0,3.0,1
51,0.0,0.0,1.0,77.0,1.0,1.0,0.0,2.0,1
52,0.0,0.0,1.0,76.0,1.0,1.0,0.0,,1
53,0.0,0.0,0.0,77.0,0.0,1.0,0.0,2.0,1
54,0.0,0.0,0.0,80.0,0.5,1.0,0.0,1.0,1
55,0.0,0.0,1.0,65.0,0.0,1.0,0.0,3.0,1
56,0.0,0.0,1.0,68.0,0.0,0.0,0.0,2.0,1
57,0.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,1
58,0.0,0.0,1.0,76.0,1.0,1.0,0.0,,1
59,0.0,0.0,0.8333333333333334,70.0,1.0,1.0,0.16666666666666666,2.0,3
60,0.0,0.0,1.0,71.0,0.6666666666666666,1.0,0.0,2.0,3
61,0.0,0.0,1.0,75.0,0.0,0.3333333333333333,0.0,3.0,5
62,0.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,3
63,0.0,0.0,0.0,65.0,0.3333333333333333,1.0,0.0,1.0,3
64,0.0,0.0,0.0,80.0,0.0,1.0,0.0,1.0,1
65,0.0,0.0,1.0,71.0,1.0,0.3333333333333333,0.0,3.0,3
66,0.0,0.0,0.0,70.0,0.0,1.0,0.0,3.0,3
67,0.0,0.0,1.0,78.0,0.6666666666666666,1.0,0.0,,1
68,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,1
69,0.0,0.0,0.0,68.0,1.0,1.0,0.0,,1
70,0.0,0.0,0.0,69.0,1.0,1.0,0.0,3.0,1
71,0.0,0.0,0.0,72.0,0.0,1.0,0.0,3.0,3
72,0.0,0.0,1.0,75.0,1.0,1.0,0.0,3.0,3
73,0.0,0.0,1.0,72.0,1.0,1.0,0.0,3.0,3
74,0.0,0.0,0.0,68.0,0.0,1.0,0.0,1.0,1
75,0.0,0.0,0.0,68.0,0.0,1.0,0.0,3.0,3
76,0.0,0.16666666666666666,0.5,75.0,1.0,0.16666666666666666,0.0,,3
77,0.0,0.0,1.0,74.0,1.0,1.0,0.0,2.0,3
78,0.0,0.0,0.0,78.0,1.0,1.0,0.0,1.0,3
79,0.0,0.0,1.0,79.0,0.3333333333333333,1.0,0.0,1.0,1
80,0.0,0.0,1.0,69.0,1.0,1.0,0.0,3.0,3
81,0.0,0.0,0.0,65.0,1.0,1.0,0.0,3.0,1
82,0.0,0.0,0.0,79.0,0.0,0.16666666666666666,0.0,,1
83,0.0,0.0,0.8333333333333334,65.0,1.0,1.0,0.0,1.0,1
84,0.0,0.0,1.0,66.0,0.0,1.0,0.0,3.0,1
85,0.0,0.0,1.0,70.0,0.0,1.0,0.0,3.0,1
86,0.0,0.0,0.0,74.0,0.0,1.0,0.0,3.0,1
87,0.0,0.0,0.0,80.0,0.0,1.0,0.0,1.0,2
88,0.0,0.0,1.0,76.0,1.0,1.0,0.0,1.0,2
89,0.0,0.0,1.0,75.0,0.0,1.0,0.0,2.0,4
90,0.0,0.0,1.0,65.0,1.0,1.0,0.0,2.0,2
91,0.0,0.0,1.0,79.0,0.0,1.0,0.0,1.0,2
92,0.0,0.0,1.0,73.0,0.0,1.0,0.0,2.0,4
93,0.0,0.0,1.0,79.0,0.0,1.0,0.0,1.0,5
94,0.0,0.0,1.0,71.0,0.0,1.0,0.0,,1
95,0.0,0.0,1.0,69.0,0.0,1.0,0.0,1.0,1
96,0.0,0.0,0.6666666666666666,75.0,0.0,0.0,0.0,1.0,1
97,0.0,0.0,0.8333333333333334,66.0,1.0,1.0,0.0,1.0,1
98,0.0,0.0,0.0,64.33333333333333,0.0,1.0,0.0,,5
99,0.0,0.0,0.5,67.33333333333333,1.0,1.0,0.0,1.0,1
100,0.0,0.0,1.0,80.0,0.0,1.0,0.0,1.0,2
101,0.0,0.0,0.0,68.0,1.0,1.0,0.16666666666666666,1.0,2
102,0.0,0.0,1.0,78.0,1.0,1.0,0.0,1.0,2
103,0.0,0.0,0.3333333333333333,70.0,0.0,1.0,0.0,,1
104,0.0,0.0,0.16666666666666666,69.0,1.0,1.0,0.0,3.0,5
105,0.0,0.0,0.0,78.0,0.0,1.0,0.0,3.0,2
106,0.0,0.0,0.0,75.0,0.0,1.0,0.0,,4
107,0.0,0.0,0.0,75.0,0.5,1.0,0.0,1.0,2
108,0.0,0.0,1.0,70.0,1.0,1.0,0.0,,1
109,0.0,0.0,1.0,67.0,1.0,1.0,0.0,1.0,1
110,0.0,0.0,0.0,69.0,0.0,1.0,0.0,1.0,1
111,0.6666666666666666,0.0,0.0,70.0,1.0,1.0,0.0,1.0,1
112,0.0,0.0,0.0,77.0,0.0,1.0,0.0,,4
113,0.0,0.0,1.0,70.0,0.6666666666666666,1.0,0.0,2.0,5
114,0.0,0.0,0.0,68.0,0.0,1.0,0.0,2.0,2
115,0.0,0.0,0.0,47.5,0.0,0.0,0.0,1.0,2
116,0.0,0.0,0.8333333333333334,67.83333333333333,0.0,1.0,0.0,3.0,1
117,0.0,0.0,1.0,73.0,0.0,1.0,0.0,,4
118,0.0,0.0,0.0,77.0,0.0,1.0,0.0,3.0,4
119,0.0,0.0,1.0,71.0,1.0,1.0,0.0,,4
120,0.0,0.0,1.0,80.0,1.0,0.16666666666666666,0.0,,2
121,0.0,0.0,1.0,66.0,1.0,1.0,0.16666666666666666,3.0,4
122,0.0,0.16666666666666666,1.0,79.0,0.0,1.0,0.0,1.0,2
123,0.0,0.0,1.0,80.0,0.0,1.0,0.0,3.0,3
124,0.0,0.0,0.0,78.0,0.0,1.0,0.0,2.0,4
125,0.0,0.0,1.0,75.0,0.0,1.0,0.0,1.0,5
126,0.0,0.0,1.0,71.33333333333333,1.0,1.0,0.0,2.0,1
127,0.0,0.0,0.0,75.0,1.0,1.0,0.0,1.0,1
128,0.0,0.0,1.0,70.0,1.0,1.0,0.0,3.0,4
129,0.0,0.0,0.0,77.0,0.0,0.0,0.0,,4
130,0.0,0.0,0.0,78.0,0.0,1.0,0.0,3.0,1
131,0.0,0.0,0.0,69.0,0.0,1.0,0.0,1.0,3
132,0.0,0.0,1.0,70.0,0.0,1.0,0.0,,4
133,0.0,0.0,0.6666666666666666,71.0,0.5,1.0,0.0,1.0,1
134,0.0,0.0,0.6666666666666666,79.0,0.0,1.0,0.0,3.0,3
135,0.0,0.0,1.0,65.0,0.0,1.0,0.0,2.0,1
136,0.0,0.0,1.0,77.0,1.0,1.0,0.0,3.0,4
137,0.0,0.0,1.0,65.0,1.0,1.0,0.0,2.0,4
138,0.0,0.0,1.0,70.0,0.5,1.0,0.0,3.0,5
139,0.0,0.0,0.0,74.0,0.0,1.0,0.0,,5
140,0.0,0.0,0.16666666666666666,65.33333333333333,1.0,1.0,0.0,1.0,1
141,0.0,0.0,0.0,69.0,1.0,1.0,0.0,2.0,4
142,0.0,0.0,0.0,76.0,0.3333333333333333,1.0,0.0,1.0,3
143,0.0,0.0,1.0,78.0,1.0,0.3333333333333333,0.0,2.0,1
144,0.0,0.0,0.5,74.0,1.0,1.0,0.0,2.0,2
145,0.0,0.0,1.0,71.0,1.0,1.0,0.0,2.0,4
146,0.0,0.0,0.0,70.0,0.0,1.0,0.0,1.0,3
147,0.0,0.0,1.0,70.0,0.0,1.0,0.0,3.0,3
148,0.0,0.0,1.0,78.0,0.0,1.0,0.0,2.0,3
149,0.0,0.0,0.0,74.0,0.0,1.0,0.0,3.0,1
150,0.0,0.0,0.5,78.0,1.0,1.0,0.0,1.0,1
151,0.0,0.0,0.6666666666666666,67.0,0.0,1.0,0.0,,1
152,0.0,0.0,0.0,80.0,0.0,1.0,0.0,1.0,2
153,0.0,0.0,1.0,74.0,0.6666666666666666,1.0,0.0,1.0,1
154,0.0,0.0,0.0,78.0,1.0,1.0,0.0,1.0,1
155,0.0,0.0,0.0,78.0,1.0,1.0,0.0,3.0,1
156,0.0,0.0,0.0,69.0,0.5,1.0,0.0,1.0,2
157,0.0,0.0,0.0,74.0,0.0,1.0,0.0,,1
158,0.0,0.0,0.0,68.0,0.5,1.0,0.0,,1
159,0.0,0.0,0.0,68.0,0.0,1.0,0.0,1.0,4
160,0.0,0.0,0.0,75.0,0.0,1.0,0.0,1.0,4
