,Number of Dependents,Latitude,Under 30,Longitude,Gender,Age,City,Married,Population,Senior Citizen,Zip Code,Dependents,Satisfaction Score,Churn Category
0,0.0,34.02381,0.0,-118.156582,1.0,78.0,550.0,0.0,68701.0,1.0,90022.0,0.0,,1
1,3.0,34.108833000000004,0.0,-118.22971499999998,1.0,71.0,550.0,0.0,4697.833333333333,1.0,93234.66666666667,1.0,,1
2,1.0,33.936291,0.0,-118.33263899999999,0.0,78.0,445.0,1.0,27778.0,1.0,90303.0,1.0,2.0,2
3,1.0,35.093141,0.0,-118.02018799999999,0.5,80.0,1067.0,0.6666666666666666,26265.0,1.0,90602.0,1.0,2.0,4
4,0.0,35.82104116666667,0.0,-118.065591,0.0,76.0,548.0,1.0,21343.0,1.0,90720.0,0.0,2.0,5
5,1.0,34.207295,0.0,-118.40002199999999,0.0,78.0,672.0,0.8333333333333334,57146.0,1.0,91605.0,1.0,1.0,2
6,0.0,34.097345000000004,0.0,-117.90673600000001,1.0,65.0,719.6666666666666,0.0,11399.166666666666,1.0,93297.16666666667,0.0,1.0,1
7,0.0,32.85723,0.0,-117.209774,1.0,77.0,849.0,1.0,34902.0,1.0,92122.0,0.0,2.0,1
8,0.0,32.85723,0.0,-117.209774,0.0,70.0,849.0,0.0,34902.0,1.0,92122.0,0.0,1.0,1
9,0.0,35.85725,0.0,-117.209774,0.0,74.0,468.0,0.0,34902.0,1.0,92122.0,0.0,,5
10,0.0,32.85723,0.0,-117.209774,1.0,65.33333333333333,849.0,1.0,34902.0,1.0,92122.0,0.0,1.0,1
11,0.0,33.53604,0.0,-119.56754966666666,0.0,80.0,988.0,0.0,17018.0,1.0,92274.0,0.0,2.0,2
12,0.0,33.644585,0.0,-118.48290266666666,0.0,77.0,412.0,0.0,39264.0,1.0,92544.0,0.0,1.0,1
13,0.0,36.319085333333334,0.0,-117.20166599999999,0.0,80.0,707.1666666666666,1.0,26357.0,1.0,92571.0,0.0,1.0,3
14,0.0,34.420998,0.0,-119.60136999999999,1.0,75.0,961.0,0.8333333333333334,5653.666666666667,0.6666666666666666,94212.0,0.0,2.0,1
15,0.0,36.057458000000004,0.0,-118.591951,0.5,75.0,142.0,1.0,191.0,1.0,93208.0,0.0,1.0,1
16,0.0,33.507255,0.0,-117.029473,1.0,76.0,982.0,0.0,46171.0,1.0,92592.0,0.0,,1
17,0.0,33.30951916666667,0.0,-117.13491699999999,1.0,72.0,849.0,1.0,47224.0,1.0,92129.0,0.0,3.0,5
18,0.0,32.961064,0.0,-119.82692066666667,1.0,54.0,618.5,0.0,47224.0,0.16666666666666666,92129.0,0.0,3.0,1
19,0.0,36.798882,0.16666666666666666,-120.01951100000001,0.0,65.0,87.0,0.0,807.0,1.0,93606.0,0.0,1.0,1
20,0.0,36.545322,0.0,-119.64228100000001,1.0,74.0,902.0,1.0,26213.0,1.0,93662.0,0.0,,1
21,0.0,36.719141,0.0,-119.20267700000001,0.0,65.0,944.0,0.0,3146.0,1.0,93675.0,0.0,3.0,5
22,0.0,38.140719,0.0,-121.838298,1.0,71.0,88.0,0.0,138.0,1.0,94512.0,0.0,,5
23,0.0,37.83323,0.0,-121.60146100000001,1.0,80.0,127.0,0.0,10153.0,1.0,94514.0,0.0,2.0,5
24,0.0,37.571748,0.0,-121.65956200000001,1.0,73.0,537.3333333333334,1.0,75929.0,1.0,94550.0,0.0,1.0,1
